,Composer,Title,Measure,Beat,Pattern,Key,CadType,Tone,CVFs,LeadingTones,Sounding,Low,RelLow,RelTone,Progress,SinceLast,ToNext
384.0,Thomas Tallis,In Nomine I,49,1.0,C1T-2p,^C1T-2p(t1|t2)?$,Evaded Clausula Vera,F,TCp,1.0,4.0,D3,P5,m7,0.8135593220338984,40.0,16.0
400.0,Thomas Tallis,In Nomine I,51,1.0,C1T-2x,^C(1|3)T-2x?z?$,Clausula Vera,D,CTx,1.0,3.0,D3,P5,P5,0.847457627118644,16.0,16.0
416.0,Thomas Tallis,In Nomine I,53,1.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,B-,tC,1.0,3.0,B-3,m10,m3,0.8813559322033898,16.0,16.0
432.0,Thomas Tallis,In Nomine I,55,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,zCB,1.0,3.0,G3,P8,P8,0.9152542372881356,16.0,16.0
448.0,Thomas Tallis,In Nomine I,57,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,G,CT,1.0,3.0,G3,P8,P8,0.9491525423728814,16.0,24.0
472.0,Thomas Tallis,In Nomine I,60,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,CTB,1.0,4.0,G2,P1,P8,1.0,24.0,8.0
96.0,William Byrd,In Nomine II,13,1.0,BC1,^BC(1|3)x?z?$,Authentic,D,CzB,1.0,3.0,D3,P1,P8,0.21621621621621623,96.0,24.0
120.0,William Byrd,In Nomine II,16,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,F,CT,1.0,3.0,F3,m3,m3,0.2702702702702703,24.0,48.0
168.0,William Byrd,In Nomine II,22,1.0,C3T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,CT,1.0,4.0,D3,P1,P8,0.3783783783783784,48.0,152.0
320.0,William Byrd,In Nomine II,41,1.0,BC1,^BC(1|3)x?z?$,Authentic,D,CB,1.0,4.0,D3,P1,P8,0.7207207207207207,152.0,24.0
344.0,William Byrd,In Nomine II,44,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,CB,1.0,4.0,G2,-P5,P4,0.7747747747747747,24.0,40.0
384.0,William Byrd,In Nomine II,49,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,C,CT,1.0,4.0,C3,-M2,m7,0.8648648648648649,40.0,16.0
400.0,William Byrd,In Nomine II,51,1.0,C2T-1,^C(2|3|4)T-1z?$,Phrygian Clausula Vera,E,CT,1.0,3.0,C3,-M2,M2,0.9009009009009009,16.0,8.0
408.0,William Byrd,In Nomine II,52,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,CT,1.0,4.0,D3,P1,P8,0.918918918918919,8.0,40.0
120.0,Brewster,In Nomine I,16,1.0,BC1,^BC(1|3)x?z?$,Authentic,D,CTB,1.0,4.0,D3,P1,P8,0.26785714285714285,120.0,38.0
158.0,Brewster,In Nomine I,20,4.0,Bc5,^Bc5z?$,Evaded Authentic,,cB,-1.0,3.0,D3,P1,,0.35267857142857145,38.0,90.0
248.0,Brewster,In Nomine I,32,1.0,T-2a,^T-2az?$,Evaded Altizans Only,,aT,-1.0,4.0,B-2,-M3,,0.5535714285714286,90.0,88.0
336.0,Brewster,In Nomine I,43,1.0,BC2,^BC(2|4)x?z?$,Authentic,D,CTB,0.0,4.0,D3,P1,P8,0.75,88.0,8.0
344.0,Brewster,In Nomine I,44,1.0,T-2y,^T-2y$,Evaded Clausula Vera,,yT,-1.0,3.0,C3,-M2,,0.7678571428571429,8.0,112.0
138.0,Robert White,In Nomine III,18,2.0,C2t1,^C(2|4)t(1|2)x?z?$,Evaded Clausula Vera,D,tC,0.0,4.0,E3,M2,P8,0.3080357142857143,138.0,6.0
144.0,Robert White,In Nomine III,19,1.0,C2T-2,^C(2|4)T-2x?z?$,Clausula Vera,D,CT,0.0,4.0,D3,P1,P8,0.32142857142857145,6.0,84.0
228.0,Robert White,In Nomine III,29,3.0,T-2a,^T-2az?$,Evaded Altizans Only,,aT,-1.0,4.0,G2,-P5,,0.5089285714285714,84.0,4.0
232.0,Robert White,In Nomine III,30,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,F,CT,1.0,3.0,F2,-M6,m3,0.5178571428571429,4.0,40.0
272.0,Robert White,In Nomine III,35,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,F,CT,1.0,4.0,F3,m3,m3,0.6071428571428571,40.0,72.0
344.0,Robert White,In Nomine III,44,1.0,C2T-2,^C(2|4)T-2x?z?$,Clausula Vera,D,CT,0.0,4.0,D3,P1,P8,0.7678571428571429,72.0,40.0
384.0,Robert White,In Nomine III,49,1.0,C2T-2,^C(2|4)T-2x?z?$,Clausula Vera,D,CT,0.0,3.0,D3,P1,P8,0.8571428571428571,40.0,8.0
392.0,Robert White,In Nomine III,50,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,C,tCT,1.0,4.0,C3,-M2,m7,0.875,8.0,16.0
408.0,Robert White,In Nomine III,52,1.0,C2T-1,^C(2|3|4)T-1z?$,Phrygian Clausula Vera,A,CT,1.0,3.0,A2,-P4,P5,0.9107142857142857,16.0,48.0
48.0,John Ward,In Nomine III,7,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,TCB,1.0,4.0,G2,-P5,P4,0.10909090909090909,48.0,12.0
60.0,John Ward,In Nomine III,8,3.0,C1x,^C(1|3)xz?$,Abandoned Authentic,B-,Cx,1.0,3.0,B-3,m6,m6,0.13636363636363635,12.0,124.0
184.0,John Ward,In Nomine III,24,1.0,Bc4,^Bc(-1|-2|4|5)z?$,Evaded Authentic,,cB,-1.0,4.0,D4,P8,,0.41818181818181815,124.0,60.0
244.0,John Ward,In Nomine III,31,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,F,CT,1.0,4.0,F3,m3,m3,0.5545454545454546,60.0,4.0
248.0,John Ward,In Nomine III,32,1.0,C1T-2x,^C(1|3)T-2x?z?$,Clausula Vera,D,CTx,1.0,3.0,D4,P8,P8,0.5636363636363636,4.0,72.0
320.0,John Ward,In Nomine III,41,1.0,BC1,^BC(1|3)x?z?$,Authentic,D,CtB,1.0,4.0,D3,P1,P8,0.7272727272727273,72.0,87.0
407.0,John Ward,In Nomine III,51,4.5,T-2c-2,^T-2c(-1|-2|4|5)x?z?$,Evaded Clausula Vera,,Tc,-1.0,4.0,A3,P5,,0.925,87.0,5.0
412.0,John Ward,In Nomine III,52,3.0,BC1,^BC(1|3)x?z?$,Authentic,D,TCB,1.0,4.0,D3,P1,P8,0.9363636363636364,5.0,20.0
